Title,ISBN,Author,Published Year,Publisher,Status,
Abraham Lincoln: Vampire Hunter,978-0000000272,Seth Grahame-Smith,2010,Amazon Digital Services- Inc.,Reserved,
ãƒ•ãƒ«ãƒ¼ãƒ„ãƒã‚¹ã‚±ãƒƒãƒˆ 1,978-0000000273,Natsuki Takaya- Alethea Nibley- Athena Nibley,1999,Simon and Schuster Digital Sales Inc,Available,
The Tempest,978-0000000274,William Shakespeare,1623,Amazon Digital Services- Inc.,Borrowed,
Burned: A House of Night Novel,978-0000000275,P.C. Cast- Kristin Cast,2010,Amazon Digital Services- Inc.,Reserved,
Wizard and Glass,978-0000000276,Stephen King- Dave McKean,1997,Simon and Schuster Digital Sales Inc,Borrowed,
The Circle,978-0000000277,Dave Eggers,2013,Penguin Group (USA) LLC,Available,
The Invention of Hugo Cabret,978-0000000278,Brian Selznick,2007,Amazon Digital Services- Inc.,Borrowed,
Brave New World/Brave New World Revisited,978-0000000279,Aldous Huxley- Christopher Hitchens,1932,Amazon Digital Services- Inc.,Available,
æ¡œè˜­é«˜æ ¡ãƒ›ã‚¹ãƒˆéƒ¨ 1,978-0000000280,Bisco Hatori,2003,HarperCollins Publishers,Available,
The Good Girl,978-0000000281,Mary Kubica,2014,Random House LLC,Borrowed,
Fallen Too Far (Too Far- #1),978-0000000282,Abbi Glines,2012,Penguin Group (USA) LLC,Available,
Landline,978-0000000283,Rainbow Rowell,2014,Amazon Digital Services- Inc.,Available,
Tempted,978-0000000284,P.C. Cast- Kristin Cast,2008,HarperCollins Publishers,Available,
No Country for Old Men,978-0000000285,Cormac McCarthy,2005,Simon and Schuster Digital Sales Inc,Available,
Wolf Hall,978-0000000286,Hilary Mantel,2009,Penguin Group (USA) LLC,Reserved,
Howl's Moving Castle,978-0000000287,Diana Wynne Jones,1986,Amazon Digital Services- Inc.,Borrowed,
Dreamcatcher,978-0000000288,Stephen King- William Olivier Desmond,2001,Amazon Digital Services- Inc.,Available,
Walden/-/ or Life in the Woods,978-0000000289,Henry David Thoreau,1854,Random House LLC,Available,
The Remains of the Day,978-0000000290,Kazuo Ishiguro,1989,Random House LLC,Borrowed,
The Best of Me,978-0000000291,Nicholas Sparks,2010,Amazon Digital Services- Inc.,Borrowed,
The Sense of an Ending,978-0000000292,Julian Barnes,2011,Amazon Digital Services- Inc.,Available,
A is for Alibi,978-0000000293,Sue Grafton,1982,Amazon Digital Services- Inc.,Borrowed,
ÎŸá¼°Î´Î¯Ï€Î¿Ï…Ï‚ Î¤ÏÏÎ±Î½Î½Î¿Ï‚,978-0000000294,Sophocles- J.E. Thomas,430,Hachette Book Group,Available,
Shanghai Girls,978-0000000295,Lisa See,2009,Penguin Group (USA) LLC,Borrowed,
The Wind in the Willows,978-0000000296,Kenneth Grahame- Gillian Avery,1908,Penguin Group (USA) LLC,Available,
To All the Boys I've Loved Before,978-0000000297,Jenny Han,2014,Amazon Digital Services- Inc.,Borrowed,
Persepolis,978-0000000298,Marjane Satrapi- Mattias Ripa,2000,Random House LLC,Available,
A Room with a View,978-0000000299,E.M. Forster,1908,Amazon Digital Services- Inc.,Borrowed,
The DUFF: Designated Ugly Fat Friend,978-0000000300,Kody Keplinger,2010,Amazon Digital Services- Inc.,Borrowed,
Lock and Key,978-0000000301,Sarah Dessen,2008,Amazon Digital Services- Inc.,Available,
Naked in Death,978-0000000302,J.D. Robb,1995,HarperCollins Publishers,Available,
The Chamber,978-0000000303,John Grisham,1994,Amazon Digital Services- Inc.,Available,
Midnight Sun (Partial Draft),978-0000000304,Stephenie Meyer,2008,Amazon Digital Services- Inc.,Available,
NARUTO -ãƒŠãƒ«ãƒˆ- å·»ãƒŽä¸€,978-0000000305,Masashi Kishimoto- Katy Bridges,1999,HarperCollins Christian Publishing,Available,
The Unlikely Pilgrimage of Harold Fry,978-0000000306,Rachel Joyce,2012,Hachette Book Group,Borrowed,
Every Day,978-0000000307,David Levithan,2012,Amazon Digital Services- Inc.,Borrowed,
Xenocide,978-0000000308,Orson Scott Card,1991,Simon and Schuster Digital Sales Inc,Borrowed,
The Merchant of Venice,978-0000000309,William Shakespeare- Robert Jackson- Barbara A. Mowat- Paul Werstine,1596,Amazon Digital Services- Inc.,Borrowed,
ShÅgun,978-0000000310,James Clavell,1975,Hachette Book Group,Borrowed,
Lover Awakened (Black Dagger Brotherhood- #3),978-0000000311,J.R. Ward,2006,Simon and Schuster Digital Sales Inc,Available,
A Court of Thorns and Roses,978-0000000312,Sarah J. Maas,2015,Amazon Digital Services- Inc.,Available,
,978-0000000313,E.L. James,2012,Amazon Digital Services- Inc.,Borrowed,
Chicka Chicka Boom Boom,978-0000000314,Bill Martin Jr.- John Archambault- Lois Ehlert,1989,Simon and Schuster Digital Sales Inc,Available,
Smile,978-0000000315,Raina Telgemeier,2009,HarperCollins Publishers,Available,
Animal Farm & 1984,978-0000000316,George Orwell- Christopher Hitchens,1950,Amazon Digital Services- Inc.,Available,
The Deep End of the Ocean,978-0000000317,Jacquelyn Mitchard,1996,Amazon Digital Services- Inc.,Reserved,
The Bonesetter's Daughter,978-0000000318,Amy Tan,2001,Amazon Digital Services- Inc.,Available,
Angus- Thongs and Full-Frontal Snogging,978-0000000319,Louise Rennison,1999,Amazon Digital Services- Inc.,Borrowed,
Mr. Penumbra's 24-Hour Bookstore,978-0000000320,Robin Sloan,2012,Hachette Book Group,Borrowed,
Flowers in the Attic,978-0000000321,V.C. Andrews,1979,Amazon Digital Services- Inc.,Available,
When Breath Becomes Air,978-0000000322,Paul Kalanithi- Abraham Verghese,2016,Amazon Digital Services- Inc.,Borrowed,
Maniac Magee,978-0000000323,Jerry Spinelli,1990,Amazon Digital Services- Inc.,Available,
Invisible Monsters,978-0000000324,Chuck Palahniuk,1999,Simon and Schuster Digital Sales Inc,Available,
Twelfth Night/-/ or- What You Will,978-0000000325,William Shakespeare,1601,Penguin Group (USA) LLC,Available,
Gathering Blue,978-0000000326,Lois Lowry,2000,Amazon Digital Services- Inc.,Available,
The Westing Game,978-0000000327,Ellen Raskin,1978,Amazon Digital Services- Inc.,Available,
Red Rising,978-0000000328,Pierce Brown,2014,Amazon Digital Services- Inc.,Borrowed,
The Way of Shadows,978-0000000329,Brent Weeks,2008,Random House LLC,Borrowed,
The Bean Trees,978-0000000330,Barbara Kingsolver,1988,Amazon Digital Services- Inc.,Available,
Walking Disaster,978-0000000331,Jamie McGuire,2013,Amazon Digital Services- Inc.,Available,
Words of Radiance,978-0000000332,Brandon Sanderson,2014,HarperCollins Publishers,Borrowed,
Guess How Much I Love You,978-0000000333,Sam McBratney- Anita Jeram,1988,Amazon Digital Services- Inc.,Available,
The Fiery Cross,978-0000000334,Diana Gabaldon,2001,Penguin Group (USA) LLC,Borrowed,
Night Shift,978-0000000335,Stephen King- John D. MacDonald,1978,Amazon Digital Services- Inc.,Borrowed,
Jaws,978-0000000336,Peter Benchley,1974,Simon and Schuster Digital Sales Inc,Available,
The History of Love,978-0000000337,Nicole Krauss,2005,Amazon Digital Services- Inc.,Borrowed,
Pippi LÃ¥ngstrump,978-0000000338,Astrid Lindgren- Lauren Child- Florence Lamborn- Nancy Seligsohn,1945,Amazon Digital Services- Inc.,Available,
L'Ã©lÃ©gance du hÃ©risson,978-0000000339,Muriel Barbery- Alison Anderson,2006,Hachette Book Group,Available,
Team of Rivals: The Political Genius of Abraham Lincoln,978-0000000340,Doris Kearns Goodwin- Suzanne Toren,2005,Amazon Digital Services- Inc.,Available,
Dead in the Family,978-0000000341,Charlaine Harris,2010,Amazon Digital Services- Inc.,Available,
La peste,978-0000000342,Albert Camus- Stuart Gilbert,1947,Amazon Digital Services- Inc.,Available,
The Reptile Room,978-0000000343,Lemony Snicket- Brett Helquist,1999,Simon and Schuster Digital Sales Inc,Borrowed,
Brain on Fire,978-0000000344,Susannah Cahalan,2012,Hachette Book Group,Available,
Wicked Lovely,978-0000000345,Melissa Marr,2007,Simon and Schuster Digital Sales Inc,Borrowed,
Curious George,978-0000000346,H.A. Rey,1941,Amazon Digital Services- Inc.,Available,
Die unendliche Geschichte,978-0000000347,Michael Ende- Ralph Manheim- Roswitha Quadflieg,1979,Amazon Digital Services- Inc.,Borrowed,
A Beautiful Mind,978-0000000348,Sylvia Nasar,1998,Random House LLC,Available,
The Jungle,978-0000000349,Upton Sinclair- Earl Lee- Kathleen DeGrave,1906,Random House LLC,Available,
The Summoning,978-0000000350,Kelley Armstrong,2008,Amazon Digital Services- Inc.,Available,
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,978-0000000351,Oliver Sacks,1985,Random House LLC,Available,
Storm Island,978-0000000352,Ken Follett,1978,Amazon Digital Services- Inc.,Borrowed,
The Blind Assassin,978-0000000353,Margaret Atwood,2000,HarperCollins Christian Publishing,Borrowed,
Hollow City,978-0000000354,Ransom Riggs,2014,Penguin Group (USA) LLC,Available,
House of Sand and Fog,978-0000000355,Andre Dubus III,1999,Amazon Digital Services- Inc.,Available,
The Girl with All the Gifts,978-0000000356,M.R. Carey,2014,Simon and Schuster Digital Sales Inc,Borrowed,
As I Lay Dying,978-0000000357,William Faulkner,1930,HarperCollins Publishers,Available,
Harold and the Purple Crayon,978-0000000358,Crockett Johnson,1955,Amazon Digital Services- Inc.,Available,
Lover Eternal (Black Dagger Brotherhood- #2),978-0000000359,J.R. Ward,2006,Random House LLC,Available,
,978-0000000360,Isaac Asimov,1953,HarperCollins Publishers,Borrowed,
Fool Moon,978-0000000361,Jim Butcher,2001,Macmillan,Available,
David and Goliath,978-0000000362,Malcolm Gladwell,2011,Random House LLC,Borrowed,
é‹¼ã®éŒ¬é‡‘è¡“å¸« 1,978-0000000363,Hiromu Arakawa- Akira Watanabe,2002,Amazon Digital Services- Inc.,Borrowed,
Guards! Guards!,978-0000000364,Terry Pratchett,1989,Amazon Digital Services- Inc.,Available,
The Year of Magical Thinking,978-0000000365,Joan Didion,2005,Amazon Digital Services- Inc.,Available,
We Need to Talk About Kevin,978-0000000366,Lionel Shriver,2003,HarperCollins Publishers,Reserved,
Rendezvous with Rama,978-0000000367,Arthur C. Clarke,1973,Amazon Digital Services- Inc.,Available,
The Queen of the Damned,978-0000000368,Anne Rice,1988,Amazon Digital Services- Inc.,Borrowed,
The Age of Innocence,978-0000000369,Edith Wharton- Maureen Howard,1920,Amazon Digital Services- Inc.,Available,
The Selfish Gene,978-0000000370,Richard Dawkins,1976,Amazon Digital Services- Inc.,Available,
Year of Wonders: A Novel of the Plague,978-0000000371,Geraldine Brooks,2001,Amazon Digital Services- Inc.,Borrowed,
The Black Echo,978-0000000372,Michael Connelly,1992,Amazon Digital Services- Inc.,Borrowed,
Anthem,978-0000000373,Ayn Rand,1938,Amazon Digital Services- Inc.,Available,
Gabriel's Inferno,978-0000000374,Sylvain Reynard,2011,Penguin Group (USA) LLC,Available,
Cloudy with a Chance of Meatballs,978-0000000375,Judi Barrett- Ron Barrett,1978,Penguin Group (USA) LLC,Available,
Major Pettigrew's Last Stand,978-0000000376,Helen Simonson,2010,Simon and Schuster Digital Sales Inc,Available,
Vision in White,978-0000000377,Nora Roberts,2009,Random House LLC,Available,
The Tenth Circle,978-0000000378,Jodi Picoult,2006,Amazon Digital Services- Inc.,Borrowed,
The Throne of Fire,978-0000000379,Rick Riordan,2011,Amazon Digital Services- Inc.,Reserved,
Old Man's War,978-0000000380,John Scalzi,2005,Macmillan,Available,
Gerald's Game,978-0000000381,Stephen King,1992,Amazon Digital Services- Inc.,Available,
Two for the Dough,978-0000000382,Janet Evanovich,1996,Amazon Digital Services- Inc.,Borrowed,
The Joy of Cooking,978-0000000383,Irma S. Rombauer- Marion Rombauer Becker- Ethan Becker,1931,Hachette Book Group,Available,
The Forever War,978-0000000384,Joe Haldeman,1974,Amazon Digital Services- Inc.,Available,
Insomnia,978-0000000385,Stephen King- Bettina Blanch Tyroller,1994,Random House LLC,Available,
Reading Lolita in Tehran: A Memoir in Books,978-0000000386,Azar Nafisi,2003,Amazon Digital Services- Inc.,Available,
The Blade Itself,978-0000000387,Joe Abercrombie,2006,Random House LLC,Available,
The Arctic Incident,978-0000000388,Eoin Colfer,2002,Amazon Digital Services- Inc.,Available,
The Shipping News,978-0000000389,Annie Proulx,1993,Amazon Digital Services- Inc.,Available,
äººç”ŸãŒã¨ãã‚ãç‰‡ã¥ã‘ã®é­”æ³•,978-0000000390,Marie KondÅ- Cathy Hirano,2011,Amazon Digital Services- Inc.,Available,
All the Bright Places,978-0000000391,Jennifer Niven- ÙØ±Ø§Ù†Ú© Ù…Ø¹Ù†ÙˆÛŒ,2015,HarperCollins Publishers,Available,
DÃ©jÃ  Dead,978-0000000392,Kathy Reichs,1997,Hachette Book Group,Available,
The Alchemyst: The Secrets of The Immortal Nicholas Flamel,978-0000000393,Michael Scott,2007,Penguin Group (USA) LLC,Available,
The Marriage Plot,978-0000000394,Jeffrey Eugenides,2011,Random House LLC,Available,
Hija de la fortuna,978-0000000395,Isabel Allende- Margaret Sayers Peden,1998,Amazon Digital Services- Inc.,Borrowed,
Luckiest Girl Alive,978-0000000396,Jessica Knoll,2015,Simon and Schuster Digital Sales Inc,Available,
Crank (Crank- #1),978-0000000397,Ellen Hopkins,2004,Amazon Digital Services- Inc.,Available,
The Raven Boys,978-0000000398,Maggie Stiefvater,2012,Amazon Digital Services- Inc.,Available,
I Am Legend and Other Stories,978-0000000399,Richard Matheson,1954,Amazon Digital Services- Inc.,Borrowed,
Olive Kitteridge,978-0000000400,Elizabeth Strout,2008,Amazon Digital Services- Inc.,Available,
Not that Kind of Girl,978-0000000401,Lena Dunham- Joana Avillez,2014,Random House LLC,Reserved,
Good to Great: Why Some Companies Make the Leap... and Others Don't,978-0000000402,James C. Collins,2001,Amazon Digital Services- Inc.,Available,
Fire,978-0000000403,Kristin Cashore,2009,Penguin Group (USA) LLC,Available,
En attendant Godot,978-0000000404,Samuel Beckett,1952,Penguin Group (USA) LLC,Available,
White Fang,978-0000000405,Jack London,1906,Random House LLC,Available,
Wolves of the Calla,978-0000000406,Stephen King- Bernie Wrightson,2003,Amazon Digital Services- Inc.,Borrowed,
His Dark Materials,978-0000000407,Philip Pullman,2000,Amazon Digital Services- Inc.,Available,
The Edge of Never,978-0000000408,J.A. Redmerski,2012,Simon and Schuster Digital Sales Inc,Available,
Reconstructing Amelia,978-0000000409,Kimberly McCreight,2013,Amazon Digital Services- Inc.,Reserved,
The One Plus One,978-0000000410,Jojo Moyes,2014,Hachette Book Group,Available,
The Hours,978-0000000411,Michael Cunningham,1998,HarperCollins Publishers,Available,
Wallbanger,978-0000000412,Alice Clayton,2012,Amazon Digital Services- Inc.,Available,
Holidays on Ice,978-0000000413,David Sedaris,1997,Amazon Digital Services- Inc.,Available,
Desperation,978-0000000414,Stephen King,1996,Amazon Digital Services- Inc.,Available,
Passion,978-0000000415,Lauren Kate,2011,Amazon Digital Services- Inc.,Available,
The Kill Order,978-0000000416,James Dashner,2012,Random House LLC,Available,
Angelfall,978-0000000417,Susan Ee,2011,Amazon Digital Services- Inc.,Available,
Empire Falls,978-0000000418,Richard Russo,2001,Amazon Digital Services- Inc.,Available,
The Fires of Heaven,978-0000000419,Robert Jordan,1993,Random House LLC,Available,
I'll Give You the Sun,978-0000000420,Jandy Nelson,2014,Simon and Schuster Digital Sales Inc,Reserved,
Survivor,978-0000000421,Chuck Palahniuk,1999,HarperCollins Publishers,Borrowed,
Shopaholic and Baby,978-0000000422,Sophie Kinsella,2007,Amazon Digital Services- Inc.,Available,
The Dark Tower,978-0000000423,Stephen King,2004,Amazon Digital Services- Inc.,Available,
Twilight Director's Notebook,978-0000000424,Catherine Hardwicke,2009,HarperCollins Publishers,Borrowed,
Shopaholic Abroad,978-0000000425,Sophie Kinsella,2001,Penguin Group (USA) LLC,Available,
Surely You're Joking- Mr. Feynman! Adventures of a Curious Character,978-0000000426,Richard Feynman,1984,Amazon Digital Services- Inc.,Borrowed,
Linger,978-0000000427,Maggie Stiefvater,2010,Amazon Digital Services- Inc.,Available,
The Complete Anne of Green Gables Boxed Set,978-0000000428,L.M. Montgomery,1908,Random House LLC,Borrowed,
A Portrait of the Artist as a Young Man,978-0000000429,James Joyce- Seamus Deane,1916,Random House LLC,Borrowed,
The Gathering Storm,978-0000000430,Robert Jordan- Brandon Sanderson,2009,Amazon Digital Services- Inc.,Borrowed,
Middlemarch,978-0000000431,George Eliot- Michel Faber,1871,Amazon Digital Services- Inc.,Available,
Point of Retreat,978-0000000432,Colleen Hoover,2012,Amazon Digital Services- Inc.,Available,
The Partner,978-0000000433,John Grisham,1997,Amazon Digital Services- Inc.,Available,
The Hobbit and The Lord of the Rings,978-0000000434,J.R.R. Tolkien,1973,Amazon Digital Services- Inc.,Available,
Thoughtless,978-0000000435,S.C. Stephens,2009,Penguin Group (USA) LLC,Available,
Presumed Innocent,978-0000000436,Scott Turow,1986,Amazon Digital Services- Inc.,Available,
The Dark Half,978-0000000437,Stephen King,1989,Macmillan,Borrowed,
Cleopatra: A Life,978-0000000438,Stacy Schiff,2006,Amazon Digital Services- Inc.,Available,
The World Is Flat: A Brief History of the Twenty-first Century,978-0000000439,Thomas L. Friedman,2005,Hachette Book Group,Reserved,
Steelheart,978-0000000440,Brandon Sanderson,2013,Penguin Group (USA) LLC,Available,
,978-0000000441,Marcus Pfister- J. Alison James,1995,Amazon Digital Services- Inc.,Borrowed,
Voyage au centre de la Terre,978-0000000442,Jules Verne,1864,Macmillan,Available,
The Happiness Project,978-0000000443,Gretchen Rubin,2009,Amazon Digital Services- Inc.,Available,
The Man in the High Castle,978-0000000444,Philip K. Dick,1962,Hachette Book Group,Available,
Helter Skelter: The True Story of The Manson Murders,978-0000000445,Vincent Bugliosi- Curt Gentry,1974,Amazon Digital Services- Inc.,Available,
Stu,978-0000000446,Famous,1945,Amazon Digital Services- Inc.,Borrowed,
Inferno,978-0000000447,Dante Alighieri- Anthony M. Esolen,1320,Hachette Book Group,Available,
Shadow of Night,978-0000000448,Deborah Harkness,2012,Amazon Digital Services- Inc.,Borrowed,
Leaving Time,978-0000000449,Jodi Picoult,2014,Amazon Digital Services- Inc.,Borrowed,
Moon Called,978-0000000450,Patricia Briggs,2006,Amazon Digital Services- Inc.,Borrowed,
Blue Bloods,978-0000000451,Melissa de la Cruz,2006,Amazon Digital Services- Inc.,Available,
The Alienist,978-0000000452,Caleb Carr,1994,HarperCollins Publishers,Borrowed,
Between the World and Me,978-0000000453,Ta-Nehisi Coates,2015,Amazon Digital Services- Inc.,Reserved,
Paradise Lost,978-0000000454,John Milton- John Leonard,1667,Amazon Digital Services- Inc.,Borrowed,
The Big Short: Inside the Doomsday Machine,978-0000000455,Michael Lewis,2009,Simon and Schuster Digital Sales Inc,Available,
The Girl Who Loved Tom Gordon,978-0000000456,Stephen King,1999,Amazon Digital Services- Inc.,Available,
A Monster Calls,978-0000000457,Patrick Ness- Jim Kay- Siobhan Dowd,2011,Random House LLC,Available,
Towers of Midnight,978-0000000458,Robert Jordan- Brandon Sanderson,2010,Amazon Digital Services- Inc.,Available,
The Day of the Jackal,978-0000000459,Frederick Forsyth,1971,Amazon Digital Services- Inc.,Borrowed,
Rework,978-0000000460,Jason Fried- David Heinemeier Hansson,2010,Simon and Schuster Digital Sales Inc,Available,
Attachments,978-0000000461,Rainbow Rowell,2011,Amazon Digital Services- Inc.,Available,
The Twilight Saga,978-0000000462,Stephenie Meyer- Ilyana Kadushin- Matt Walters,2005,Penguin Group (USA) LLC,Available,
Tell the Wolves I'm Home,978-0000000463,Carol Rifka Brunt,2012,Amazon Digital Services- Inc.,Borrowed,
All Creatures Great And Small,978-0000000464,James Herriot,1972,Amazon Digital Services- Inc.,Available,
The Unbecoming of Mara Dyer,978-0000000465,Michelle Hodkin,2011,Macmillan,Available,
Three to Get Deadly,978-0000000466,Janet Evanovich,1997,Hachette Book Group,Borrowed,
The Scarlet Pimpernel,978-0000000467,Emmuska Orczy,1905,Hachette Book Group,Available,
The Monster at the End of This Book,978-0000000468,Jon Stone- Michael J. Smollin,1971,Amazon Digital Services- Inc.,Borrowed,
Tales of a Fourth Grade Nothing,978-0000000469,Judy Blume,1972,Penguin Group (USA) LLC,Available,
Shadow and Bone,978-0000000470,Leigh Bardugo,2012,Amazon Digital Services- Inc.,Available,
Het diner,978-0000000471,Herman Koch- Sam Garrett,2009,Amazon Digital Services- Inc.,Available,
Champion,978-0000000472,Marie Lu,2013,Simon and Schuster Digital Sales Inc,Available,
Contact,978-0000000473,Carl Sagan,1985,Random House LLC,Available,
Lola and the Boy Next Door,978-0000000474,Stephanie Perkins,2011,Amazon Digital Services- Inc.,Available,
White Teeth,978-0000000475,Zadie Smith,1999,Amazon Digital Services- Inc.,Available,
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,978-0000000476,Chris Kyle- Scott McEwen- Jim DeFelice,2012,Macmillan,Borrowed,
My Horizontal Life: A Collection of One-Night Stands,978-0000000477,Chelsea Handler,2004,Simon and Schuster Digital Sales Inc,Available,
The Power of Six,978-0000000478,Pittacus Lore,2011,Macmillan,Borrowed,
The Interestings,978-0000000479,Meg Wolitzer,2013,HarperCollins Publishers,Available,
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,978-0000000480,Bill Watterson,1988,Amazon Digital Services- Inc.,Borrowed,
People of the Book,978-0000000481,Geraldine Brooks,2008,Penguin Group (USA) LLC,Available,
The Secret Keeper,978-0000000482,Kate Morton,2012,HarperCollins Publishers,Borrowed,
Better Homes & Gardens New Cook Book,978-0000000483,Better Homes and Gardens,1953,Amazon Digital Services- Inc.,Borrowed,
So Long- and Thanks for All the Fish,978-0000000484,Douglas Adams,1984,HarperCollins Publishers,Available,
Der Steppenwolf: ErzÃ¤hlung,978-0000000485,Hermann Hesse- Basil Creighton,1927,Amazon Digital Services- Inc.,Available,
The Surgeon,978-0000000486,Tess Gerritsen,2001,Random House LLC,Available,
The Girl You Left Behind,978-0000000487,Jojo Moyes,2012,Random House LLC,Borrowed,
Royal Assassin,978-0000000488,Robin Hobb,1996,Amazon Digital Services- Inc.,Available,
Childhood's End,978-0000000489,Arthur C. Clarke,1953,Amazon Digital Services- Inc.,Available,
The Tale of Despereaux,978-0000000490,Kate DiCamillo- Timothy Basil Ering,2004,Penguin Group (USA) LLC,Available,
Animal- Vegetable- Miracle: A Year of Food Life,978-0000000491,Barbara Kingsolver- Steven L. Hopp- Camille Kingsolver- Richard A. Houser,2007,Amazon Digital Services- Inc.,Borrowed,
Heir of Fire,978-0000000492,Sarah J. Maas,2014,Hachette Book Group,Available,
,978-0000000493,Robert Jordan,1994,Hachette Book Group,Available,
The Sweetness at the Bottom of the Pie,978-0000000494,Alan Bradley,2009,Penguin Group (USA) LLC,Borrowed,
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,978-0000000495,Donald Miller,2003,Amazon Digital Services- Inc.,Borrowed,
A Breath of Snow and Ashes,978-0000000496,Diana Gabaldon,2005,Penguin Group (USA) LLC,Available,
The Blood of Olympus,978-0000000497,Rick Riordan,2014,Amazon Digital Services- Inc.,Available,
Truly Madly Guilty,978-0000000498,Liane Moriarty,2016,Amazon Digital Services- Inc.,Borrowed,
Saga- Volume One,978-0000000499,Brian K. Vaughan- Fiona Staples,2012,Amazon Digital Services- Inc.,Available,
The Art of Fielding,978-0000000500,Chad Harbach,2011,Amazon Digital Services- Inc.,Borrowed,
A Moveable Feast,978-0000000501,Ernest Hemingway,1964,Penguin Group (USA) LLC,Available,
Fablehaven,978-0000000502,Brandon Mull,2006,Random House LLC,Borrowed,
The Wide Window,978-0000000503,Lemony Snicket- Brett Helquist,2000,Amazon Digital Services- Inc.,Available,
Grave Peril,978-0000000504,Jim Butcher,2001,Amazon Digital Services- Inc.,Available,
Einstein. His Life and Universe,978-0000000505,Walter Isaacson,2007,Amazon Digital Services- Inc.,Available,
Effortless,978-0000000506,S.C. Stephens,2011,Amazon Digital Services- Inc.,Reserved,
The Street Lawyer,978-0000000507,John Grisham,1998,Random House LLC,Available,
Roll of Thunder- Hear My Cry,978-0000000508,Mildred D. Taylor,1976,Hachette Book Group,Borrowed,
Pride and Prejudice and Zombies,978-0000000509,Seth Grahame-Smith- Jane Austen,2009,Amazon Digital Services- Inc.,Available,
Lets Explore Diabetes with Owls,978-0000000510,David Sedaris,2013,Macmillan,Available,
Ð˜Ð´Ð¸Ð¾Ñ‚,978-0000000511,Fyodor Dostoyevsky- Constance Garnett- Alan Myers- Joseph Frank- Anna Brailovsky,1868,Penguin Group (USA) LLC,Available,
Dirk Gently's Holistic Detective Agency,978-0000000512,Douglas Adams,1987,Amazon Digital Services- Inc.,Available,
Rodrick Rules,978-0000000513,Jeff Kinney,2008,Amazon Digital Services- Inc.,Available,
Why Not Me?,978-0000000514,Mindy Kaling,2015,Random House LLC,Available,
Four: A Divergent Collection,978-0000000515,Veronica Roth,2014,Amazon Digital Services- Inc.,Borrowed,
Modern Romance,978-0000000516,Aziz Ansari- Eric Klinenberg,2015,Amazon Digital Services- Inc.,Available,
The One and Only Ivan,978-0000000517,Katherine Applegate- Patricia Castelao,2012,Amazon Digital Services- Inc.,Borrowed,
The Perfect Storm: A True Story of Men Against the Sea,978-0000000518,Sebastian Junger,1997,Hachette Book Group,Available,
Elantris,978-0000000519,Brandon Sanderson,2005,Simon and Schuster Digital Sales Inc,Borrowed,
The Knife of Never Letting Go,978-0000000520,Patrick Ness,2008,Amazon Digital Services- Inc.,Available,
One Thousand White Women: The Journals of May Dodd,978-0000000521,Jim Fergus,1998,Amazon Digital Services- Inc.,Available,
Handle with Care,978-0000000522,Jodi Picoult,2009,HarperCollins Publishers,Available,
Song of Susannah,978-0000000523,Stephen King- Darrel Anderson,2004,Amazon Digital Services- Inc.,Available,
Reached,978-0000000524,Ally Condie,2012,Amazon Digital Services- Inc.,Available,
Midnight's Children,978-0000000525,Salman Rushdie,1981,Amazon Digital Services- Inc.,Available,
The Zombie Survival Guide: Complete Protection from the Living Dead,978-0000000526,Max Brooks,2004,Amazon Digital Services- Inc.,Borrowed,
The Testament,978-0000000527,John Grisham,1999,Random House LLC,Available,
Murder at the Vicarage,978-0000000528,Agatha Christie,1930,HarperCollins Publishing,Borrowed,
Among the Hidden,978-0000000529,Margaret Peterson Haddix,1998,HarperCollins Publishers,Available,
In Defense of Food: An Eater's Manifesto,978-0000000530,Michael Pollan,2007,Amazon Digital Services- Inc.,Available,
The Witch of Blackbird Pond,978-0000000531,Elizabeth George Speare,1958,Penguin Group (USA) LLC,Borrowed,
The Heir,978-0000000532,Kiera Cass,2015,Amazon Digital Services- Inc.,Available,
Shopaholic Ties the Knot,978-0000000533,Sophie Kinsella,2002,Amazon Digital Services- Inc.,Available,
The Woman in White,978-0000000534,Wilkie Collins- Matthew Sweet,1859,Amazon Digital Services- Inc.,Borrowed,
Career of Evil,978-0000000535,Robert Galbraith- J.K. Rowling,2015,Penguin Group (USA) LLC,Available,
The Summer I Turned Pretty,978-0000000536,Jenny Han,2009,Amazon Digital Services- Inc.,Borrowed,
Four to Score,978-0000000537,Janet Evanovich,1998,Amazon Digital Services- Inc.,Available,
The Color of Water: A Black Man's Tribute to His White Mother,978-0000000538,James McBride,1996,Amazon Digital Services- Inc.,Available,
SuperFreakonomics: Global Cooling- Patriotic Prostitutes- and Why Suicide Bombers Should Buy Life Insurance,978-0000000539,Steven D. Levitt- Stephen J. Dubner,2009,Penguin Group (USA) LLC,Available,
Darkfever,978-0000000540,Karen Marie Moning,2006,Penguin Group (USA) LLC,Borrowed,
Stone of Tears,978-0000000541,Terry Goodkind,1995,Penguin Group (USA) LLC,Available,
Heart of the Matter,978-0000000542,Emily Giffin,2010,Simon and Schuster Digital Sales Inc,Reserved,
